d_id,u_id,rating,review
18,22,5,"A cinematic experience worthy of a standing ovation."
18,25,4,"This movie slaps! 🎬🔥"
18,27,5,"Mind blown! 🤯"
18,28,5,"Absolute masterpiece! Chef's kiss! 👌💯"
18,31,1,"I had to break up for recommending this to my ex."
18,32,5,"This deserves all the Oscars! 🏆"
18,42,3,"Aight, it's aight."
18,46,5,"A cinematic experience worthy of a standing ovation."
18,49,4,"Well-crafted and engaging."
18,50,2,"Skibidi"
19,2,4,"Solid direction and cinematography."
19,4,3,"It's a 3, because 2 was too harsh and 4 was too kind."
19,7,3,"Middle of the road, like a plain slice of bread."
19,10,3,"Aight, it's aight."
19,11,4,"Well-crafted and engaging."
19,18,3,"A standard movie experience."
19,22,3,"It was okay, nothing extra special. 🤷‍♂️"
19,28,2,"Disappointing compared to expectations."
19,32,4,"Good movie! 10/10 would watch again. 👍"
19,33,4,"Solid as a rock... if the rock had good acting."
19,42,1,"I had to break up for recommending this to my ex."
19,44,1,"Well, that escalated quickly... to awful."
20,8,3,"A standard movie experience."
20,9,3,"Average movie, worth a watch if you're bored."
20,13,2,"Kinda sus, not sure what's happening here. 🤨"
20,16,2,"Disappointing compared to expectations."
20,17,5,"Everything about this film is lit. 🔥"
20,38,1,"Well, that escalated quickly... to awful."
20,39,5,"This deserves all the Oscars! 🏆"
20,44,2,"Disappointing compared to expectations."
20,45,1,"This film is as useful as a screen door on a submarine."
20,47,5,"Outstanding in every aspect."
20,49,4,"Solid direction and cinematography."
21,5,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
21,6,1,"Horrific. My eyes hurt watching this."
21,9,1,"Expectation vs. Reality: Complete fail."
21,11,1,"Expectation vs. Reality: Complete fail."
21,12,1,"Worst film I've ever seen."
21,17,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
21,21,5,"A must-watch for everyone."
21,22,3,"Neither here nor there."
21,24,1,"Horrific. My eyes hurt watching this."
21,31,1,"I had to break up for recommending this to my ex."
21,35,1,"I had to break up for recommending this to my ex."
21,39,4,"Good movie! 10/10 would watch again. 👍"
21,42,3,"Satisfactory, like a lukewarm cup of tea."
21,45,4,"Big brain movie with great twists."
21,46,4,"Solid direction and cinematography."
22,1,2,"I'm crying inside... from boredom."
22,2,4,"Highkey enjoyed this one."
22,6,1,"Well, that escalated quickly... to awful."
22,11,1,"Worst film I've ever seen."
22,15,3,"It was okay, nothing extra special. 🤷‍♂️"
22,24,2,"Meh. It was a solid 2 from me."
22,45,1,"I had to break up for recommending this to my ex."
23,11,5,"Mind blown! 🤯"
23,14,4,"Highkey enjoyed this one."
23,18,5,"One does not simply watch a better movie."
23,23,1,"Well, that escalated quickly... to awful."
23,24,1,"This film is as useful as a screen door on a submarine."
23,26,1,"Worst film I've ever seen."
23,27,4,"A+ for effort and execution."
23,33,2,"Disappointing compared to expectations."
23,41,3,"Satisfactory, like a lukewarm cup of tea."
23,42,4,"Highly recommend watching this."
23,48,3,"A standard movie experience."
24,7,5,"One does not simply watch a better movie."
24,10,1,"Expectation vs. Reality: Complete fail."
24,11,1,"Worst film I've ever seen."
24,13,1,"This film is as useful as a screen door on a submarine."
24,16,1,"Disgusting movie dude."
24,20,5,"Outstanding in every aspect."
24,25,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
24,28,5,"I'm shook. Best movie ever."
24,30,5,"One does not simply watch a better movie."
24,36,1,"Worst film I've ever seen."
25,5,4,"Big brain movie with great twists."
25,7,5,"One does not simply watch a better movie."
25,14,3,"Middle of the road, like a plain slice of bread."
25,26,2,"I'm crying inside... from boredom."
25,31,1,"This film is as useful as a screen door on a submarine."
25,33,2,"Skibidi"
25,34,4,"Solid as a rock... if the rock had good acting."
25,36,3,"Satisfactory, like a lukewarm cup of tea."
25,37,5,"I'm shook. Best movie ever."
25,43,1,"I had to break up for recommending this to my ex."
25,47,4,"Good movie! 10/10 would watch again. 👍"
25,49,4,"Well-crafted and engaging."
26,7,5,"Mind blown! 🤯"
26,15,2,"I'm crying inside... from boredom."
26,20,4,"Solid as a rock... if the rock had good acting."
26,22,5,"A cinematic experience worthy of a standing ovation."
26,23,4,"Well-crafted and engaging."
26,27,4,"Solid direction and cinematography."
26,42,2,"Not great, but not the worst."
26,47,2,"I'm crying inside... from boredom."
26,48,5,"This deserves all the Oscars! 🏆"
26,50,5,"Outstanding in every aspect."
27,12,1,"Horrific. My eyes hurt watching this."
27,22,5,"Absolute masterpiece! Chef's kiss! 👌💯"
27,29,5,"One does not simply watch a better movie."
27,34,1,"It's not me, it's you... and the movie."
27,35,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
27,43,4,"Solid as a rock... if the rock had good acting."
28,2,3,"Middle of the road, like a plain slice of bread."
28,6,5,"I'm shook. Best movie ever."
28,7,3,"Good in parts, but overall average."
28,12,2,"It's a no from me, dawg."
28,15,2,"Meh. It was a solid 2 from me."
28,24,5,"A must-watch for everyone."
28,26,2,"Skibidi"
28,30,4,"Big brain movie with great twists."
28,38,1,"Disgusting movie dude."
28,40,4,"Highkey enjoyed this one."
28,43,4,"Big brain movie with great twists."
28,46,3,"A standard movie experience."
28,50,4,"Highkey enjoyed this one."
29,4,3,"Average movie, worth a watch if you're bored."
29,5,4,"Well-crafted and engaging."
29,9,5,"I'm shook. Best movie ever."
29,11,4,"This movie slaps! 🎬🔥"
29,13,2,"I'm crying inside... from boredom."
29,15,2,"Average performances, nothing special."
29,18,5,"A must-watch for everyone."
29,20,5,"I'm shook. Best movie ever."
29,21,4,"Solid direction and cinematography."
29,23,3,"Aight, it's aight."
29,25,3,"It was okay, nothing extra special. 🤷‍♂️"
29,36,4,"Solid direction and cinematography."
29,39,1,"Expectation vs. Reality: Complete fail."
29,46,4,"This movie slaps! 🎬🔥"
29,49,4,"This movie slaps! 🎬🔥"
30,4,5,"One does not simply watch a better movie."
30,7,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
30,8,5,"Outstanding in every aspect."
30,9,2,"Average performances, nothing special."
30,10,1,"Disgusting movie dude."
30,28,3,"Satisfactory, like a lukewarm cup of tea."
30,46,2,"Lowkey disappointing."
30,49,2,"Not great, but not the worst."
30,50,5,"Absolute masterpiece! Chef's kiss! 👌💯"
31,1,4,"On point! Nailed it."
31,9,3,"A standard movie experience."
31,19,4,"Solid direction and cinematography."
31,20,2,"Not great, but not the worst."
31,24,1,"Worst film I've ever seen."
31,25,3,"Middle of the road, like a plain slice of bread."
31,34,3,"Just another day in movie paradise."
31,35,1,"Disgusting movie dude."
31,36,1,"Disgusting movie dude."
31,46,5,"This deserves all the Oscars! 🏆"
31,49,3,"Just another day in movie paradise."
31,50,1,"Well, that escalated quickly... to awful."
32,3,3,"It was okay, nothing extra special. 🤷‍♂️"
32,5,1,"Well, that escalated quickly... to awful."
32,10,5,"Outstanding in every aspect."
32,14,2,"Lowkey disappointing."
32,15,1,"It's not me, it's you... and the movie."
32,22,2,"Lowkey disappointing."
32,24,1,"More disappointing than the sequel."
32,28,1,"Well, that escalated quickly... to awful."
32,29,5,"Absolute masterpiece! Chef's kiss! 👌💯"
32,30,5,"This deserves all the Oscars! 🏆"
32,35,2,"Meh. It was a solid 2 from me."
32,37,5,"A must-watch for everyone."
32,42,1,"Worst film I've ever seen."
33,9,2,"Disappointing compared to expectations."
33,13,5,"I'm shook. Best movie ever."
33,15,3,"Average movie, worth a watch if you're bored."
33,16,5,"This movie is straight fire! 🔥🔥🔥"
33,21,5,"One does not simply watch a better movie."
33,22,5,"Outstanding in every aspect."
33,25,3,"It's a 3, because 2 was too harsh and 4 was too kind."
33,26,5,"Absolute masterpiece! Chef's kiss! 👌💯"
33,27,3,"Just another day in movie paradise."
33,31,1,"I had to break up for recommending this to my ex."
33,36,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
33,38,3,"Neither here nor there."
33,43,2,"It's a no from me, dawg."
34,2,5,"This movie is straight fire! 🔥🔥🔥"
34,3,5,"This deserves all the Oscars! 🏆"
34,4,3,"Middle of the road, like a plain slice of bread."
34,8,3,"Neither here nor there."
34,20,2,"It's a no from me, dawg."
34,23,5,"This deserves all the Oscars! 🏆"
34,26,3,"Aight, it's aight."
34,36,2,"It's a no from me, dawg."
34,37,5,"A must-watch for everyone."
34,41,3,"A standard movie experience."
34,43,1,"It's not me, it's you... and the movie."
34,48,1,"Expectation vs. Reality: Complete fail."
35,3,5,"Outstanding in every aspect."
35,8,2,"Average performances, nothing special."
35,11,3,"Good in parts, but overall average."
35,15,4,"Well-crafted and engaging."
35,18,1,"Disgusting movie dude."
35,24,4,"Solid as a rock... if the rock had good acting."
35,26,3,"Average movie, worth a watch if you're bored."
35,28,4,"On point! Nailed it."
35,30,5,"A must-watch for everyone."
35,35,3,"Average movie, worth a watch if you're bored."
35,36,2,"Average performances, nothing special."
35,38,1,"Expectation vs. Reality: Complete fail."
35,40,1,"I had to break up for recommending this to my ex."
35,41,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
35,46,1,"Horrific. My eyes hurt watching this."
35,49,3,"Neither here nor there."
35,50,4,"On point! Nailed it."
36,10,5,"This movie is straight fire! 🔥🔥🔥"
36,17,1,"Well, that escalated quickly... to awful."
36,19,2,"I'm crying inside... from boredom."
36,22,4,"Highkey enjoyed this one."
36,24,4,"Good movie! 10/10 would watch again. 👍"
36,28,3,"Aight, it's aight."
36,34,3,"It was okay, nothing extra special. 🤷‍♂️"
36,36,4,"On point! Nailed it."
36,38,1,"Disgusting movie dude."
36,42,1,"Horrific. My eyes hurt watching this."
36,45,2,"Disappointing compared to expectations."
36,46,2,"Meh. It was a solid 2 from me."
36,50,3,"Neither here nor there."
37,8,4,"Solid as a rock... if the rock had good acting."
37,22,3,"Average movie, worth a watch if you're bored."
37,28,3,"Just another day in movie paradise."
37,33,4,"This movie slaps! 🎬🔥"
37,34,1,"It's not me, it's you... and the movie."
37,38,4,"This movie slaps! 🎬🔥"
37,41,3,"A standard movie experience."
37,45,2,"Average performances, nothing special."
38,1,4,"Solid direction and cinematography."
38,3,3,"It was okay, nothing extra special. 🤷‍♂️"
38,5,5,"A cinematic experience worthy of a standing ovation."
38,8,4,"Well-crafted and engaging."
38,17,3,"Satisfactory, like a lukewarm cup of tea."
38,32,5,"I'm shook. Best movie ever."
38,35,2,"Mediocre at best."
38,36,2,"Meh. It was a solid 2 from me."
38,38,2,"Average performances, nothing special."
38,43,1,"Worst film I've ever seen."
39,1,4,"On point! Nailed it."
39,3,2,"Skibidi"
39,8,4,"Good movie! 10/10 would watch again. 👍"
39,14,5,"A cinematic experience worthy of a standing ovation."
39,16,1,"Worst film I've ever seen."
39,17,2,"Disappointing compared to expectations."
39,19,2,"It's a no from me, dawg."
39,23,5,"Mind blown! 🤯"
39,25,1,"Disgusting movie dude."
39,26,4,"This movie slaps! 🎬🔥"
39,27,4,"This movie slaps! 🎬🔥"
39,29,2,"Meh. It was a solid 2 from me."
39,31,5,"This deserves all the Oscars! 🏆"
39,34,1,"Expectation vs. Reality: Complete fail."
39,35,5,"A must-watch for everyone."
39,43,4,"Good movie! 10/10 would watch again. 👍"
39,47,3,"Just another day in movie paradise."
39,48,5,"A must-watch for everyone."
40,4,4,"Big brain movie with great twists."
40,10,1,"Worst film I've ever seen."
40,12,3,"It's a 3, because 2 was too harsh and 4 was too kind."
40,22,3,"Just another day in movie paradise."
40,37,2,"Skibidi"
40,40,2,"Kinda sus, not sure what's happening here. 🤨"
40,41,5,"A cinematic experience worthy of a standing ovation."
40,45,4,"A+ for effort and execution."
40,50,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
41,11,2,"I'm crying inside... from boredom."
41,16,4,"This movie slaps! 🎬🔥"
41,18,3,"A standard movie experience."
41,20,1,"This film is as useful as a screen door on a submarine."
41,25,3,"A standard movie experience."
41,36,3,"It was okay, nothing extra special. 🤷‍♂️"
41,40,2,"Disappointing compared to expectations."
41,41,5,"A must-watch for everyone."
41,46,2,"Average performances, nothing special."
41,47,4,"Solid as a rock... if the rock had good acting."
41,49,2,"Disappointing compared to expectations."
41,50,3,"Middle of the road, like a plain slice of bread."
42,4,2,"Average performances, nothing special."
42,15,4,"Good movie! 10/10 would watch again. 👍"
42,21,3,"Middle of the road, like a plain slice of bread."
42,26,5,"This movie is straight fire! 🔥🔥🔥"
42,50,2,"Average performances, nothing special."
43,7,5,"Outstanding in every aspect."
43,12,1,"Disgusting movie dude."
43,14,1,"I had to break up for recommending this to my ex."
43,16,5,"This deserves all the Oscars! 🏆"
43,19,3,"Satisfactory, like a lukewarm cup of tea."
43,20,1,"I had to break up for recommending this to my ex."
43,21,1,"This film is as useful as a screen door on a submarine."
43,37,1,"Expectation vs. Reality: Complete fail."
43,40,3,"Good in parts, but overall average."
43,43,5,"I'm shook. Best movie ever."
43,47,3,"Middle of the road, like a plain slice of bread."
44,6,3,"Middle of the road, like a plain slice of bread."
44,12,4,"Highkey enjoyed this one."
44,15,2,"It's a no from me, dawg."
44,27,4,"On point! Nailed it."
44,36,1,"Horrific. My eyes hurt watching this."
44,39,4,"Solid direction and cinematography."
44,43,5,"Absolute masterpiece! Chef's kiss! 👌💯"
44,44,3,"Just another day in movie paradise."
44,48,2,"Kinda sus, not sure what's happening here. 🤨"
45,5,5,"A cinematic experience worthy of a standing ovation."
45,10,4,"Highly recommend watching this."
45,14,1,"Horrific. My eyes hurt watching this."
45,18,4,"Good movie! 10/10 would watch again. 👍"
45,34,3,"Middle of the road, like a plain slice of bread."
45,35,2,"Meh. It was a solid 2 from me."
45,42,5,"One does not simply watch a better movie."
45,44,2,"Disappointing compared to expectations."
45,45,5,"A must-watch for everyone."
45,48,4,"Solid direction and cinematography."
45,50,2,"Average performances, nothing special."
46,11,1,"I had to break up for recommending this to my ex."
46,13,1,"I had to break up for recommending this to my ex."
46,14,4,"On point! Nailed it."
46,17,2,"I'm crying inside... from boredom."
46,21,2,"I'm crying inside... from boredom."
46,24,5,"This deserves all the Oscars! 🏆"
46,26,1,"This film is as useful as a screen door on a submarine."
46,45,4,"Highly recommend watching this."
47,1,3,"A standard movie experience."
47,4,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
47,6,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
47,7,5,"One does not simply watch a better movie."
47,13,5,"Absolute masterpiece! Chef's kiss! 👌💯"
47,28,2,"Mediocre at best."
47,35,3,"Just another day in movie paradise."
47,41,5,"I'm shook. Best movie ever."
47,44,1,"This film is as useful as a screen door on a submarine."
48,4,4,"This movie slaps! 🎬🔥"
48,8,5,"I'm shook. Best movie ever."
48,9,2,"Mediocre at best."
48,12,1,"Expectation vs. Reality: Complete fail."
48,13,5,"Mind blown! 🤯"
48,20,4,"A+ for effort and execution."
48,23,4,"Highly recommend watching this."
48,28,3,"Just another day in movie paradise."
48,30,4,"Solid direction and cinematography."
48,33,1,"Horrific. My eyes hurt watching this."
48,36,4,"Good movie! 10/10 would watch again. 👍"
49,3,1,"More disappointing than the sequel."
49,5,4,"Solid direction and cinematography."
49,9,4,"On point! Nailed it."
49,16,5,"One does not simply watch a better movie."
49,17,1,"Expectation vs. Reality: Complete fail."
49,19,3,"Middle of the road, like a plain slice of bread."
49,24,5,"I'm shook. Best movie ever."
49,27,2,"Disappointing compared to expectations."
49,28,3,"A standard movie experience."
49,30,2,"Not great, but not the worst."
49,31,5,"Outstanding in every aspect."
49,43,4,"This movie slaps! 🎬🔥"
49,44,4,"On point! Nailed it."
49,48,2,"Not great, but not the worst."
49,49,2,"Disappointing compared to expectations."
50,8,4,"Good movie! 10/10 would watch again. 👍"
50,9,3,"Good in parts, but overall average."
50,14,3,"It was okay, nothing extra special. 🤷‍♂️"
50,22,2,"Skibidi"
50,24,1,"Well, that escalated quickly... to awful."
50,31,2,"Skibidi"
50,33,3,"Just another day in movie paradise."
50,49,5,"Everything about this film is lit. 🔥"
51,2,5,"Everything about this film is lit. 🔥"
51,9,4,"Well-crafted and engaging."
51,14,3,"Good in parts, but overall average."
51,24,4,"This movie slaps! 🎬🔥"
51,26,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
51,34,1,"Expectation vs. Reality: Complete fail."
51,35,4,"Solid as a rock... if the rock had good acting."
51,36,5,"Everything about this film is lit. 🔥"
51,37,1,"Worst film I've ever seen."
51,38,4,"Solid direction and cinematography."
52,10,4,"Well-crafted and engaging."
52,11,1,"Disgusting movie dude."
52,14,3,"It's a 3, because 2 was too harsh and 4 was too kind."
52,16,2,"I'm crying inside... from boredom."
52,18,2,"Mediocre at best."
52,24,5,"A must-watch for everyone."
52,27,4,"This movie slaps! 🎬🔥"
52,30,3,"Neither here nor there."
52,33,1,"Worst film I've ever seen."
52,39,1,"Well, that escalated quickly... to awful."
53,2,2,"Average performances, nothing special."
53,6,1,"Disgusting movie dude."
53,8,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
53,10,5,"I'm shook. Best movie ever."
53,12,5,"This movie is straight fire! 🔥🔥🔥"
53,16,3,"Average movie, worth a watch if you're bored."
53,19,3,"It's a 3, because 2 was too harsh and 4 was too kind."
53,25,5,"This deserves all the Oscars! 🏆"
53,26,2,"Lowkey disappointing."
53,28,1,"More disappointing than the sequel."
53,31,5,"Outstanding in every aspect."
53,34,4,"Solid direction and cinematography."
53,35,2,"Kinda sus, not sure what's happening here. 🤨"
53,41,2,"Lowkey disappointing."
53,45,2,"Lowkey disappointing."
54,1,1,"Horrific. My eyes hurt watching this."
54,4,1,"Expectation vs. Reality: Complete fail."
54,5,5,"Outstanding in every aspect."
54,12,2,"Kinda sus, not sure what's happening here. 🤨"
54,21,4,"Solid direction and cinematography."
54,24,1,"Worst film I've ever seen."
54,26,4,"Highkey enjoyed this one."
54,28,1,"Disgusting movie dude."
54,29,5,"One does not simply watch a better movie."
54,31,4,"A+ for effort and execution."
54,33,3,"A standard movie experience."
54,36,5,"Absolute masterpiece! Chef's kiss! 👌💯"
54,37,3,"A standard movie experience."
54,40,1,"More disappointing than the sequel."
54,45,2,"Skibidi"
54,46,2,"It's a no from me, dawg."
55,1,3,"Good in parts, but overall average."
55,2,1,"It's not me, it's you... and the movie."
55,3,3,"Middle of the road, like a plain slice of bread."
55,5,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
55,7,4,"Good movie! 10/10 would watch again. 👍"
55,9,3,"Just another day in movie paradise."
55,12,2,"Meh. It was a solid 2 from me."
55,13,5,"Mind blown! 🤯"
55,16,4,"On point! Nailed it."
55,21,5,"Mind blown! 🤯"
55,23,5,"One does not simply watch a better movie."
55,24,1,"Well, that escalated quickly... to awful."
55,26,3,"Aight, it's aight."
55,32,3,"Average movie, worth a watch if you're bored."
55,35,1,"Worst film I've ever seen."
55,41,2,"Lowkey disappointing."
55,42,3,"A standard movie experience."
56,1,4,"A+ for effort and execution."
56,2,2,"It's a no from me, dawg."
56,5,3,"Good in parts, but overall average."
56,7,1,"More disappointing than the sequel."
56,15,2,"I'm crying inside... from boredom."
56,22,5,"Mind blown! 🤯"
